,Mean,LB,UB,Sample size,Distribution,Min,Max,Mode,Alpha,Beta
Pre-ART1,0.14,0.13,0.15,2285,Beta,0.015,0.027,0.021,47.985,2237.015
Pre-ART2,0.1,0.08,0.11,2587,Beta,0.014,0.023,0.018,46.566,2540.434
Pre-ART3,0.15,0.13,0.18,2038,Beta,0.011,0.02,0.015,30.57,2007.43
Pre-ART4,0.22,0.17,0.27,849,Beta,0.012,0.027,0.02,16.98,832.02
On-ART1,0.14,0.12,0.15,1291,Beta,0.01,0.012,0.011,14.201,1276.799
On-ART2,0.12,0.11,0.13,1471,Triangular,0.013,0.016,0.014,20.594,1450.406
On-ART3,0.16,0.15,0.17,2691,Triangular,0.012,0.014,0.013,34.983,2656.017
On-ART4,0.2,0.19,0.21,2760,Triangular,0.01,0.012,0.011,30.36,2729.64
